symbol,name2,sector
gazp,gazprom,energy minerals
rosn,rosneft,energy minerals
sber,sberbank,finance
nvtk,novatek,energy minerals
lkoh,lukoil,energy minerals
gmkn,nornickel gmk,non-energy minerals
sibn,gazprom neft,energy minerals
plzl,polus,non-energy minerals
sngs,surgut,energy minerals
phor,phosagro ao,process industries
tatn,tatneft-3,energy minerals
chmf,severstal - ao,non-energy minerals
nlmk,nlmk ao,non-energy minerals
akrn,acron,process industries
rual,united company rusal plc,non-energy minerals
vsmo,corp. vsmpo-avisma ao,non-energy minerals
mtss,mts,communications
mgnt,magnit,retail trade
alrs,alrosa ao,non-energy minerals
pikk,pik sz,consumer durables
magn,mmk,non-energy minerals
irao,inter rao ao,utilities
hydr,rusgidro,utilities
unac,ob.aviastroitelnaya korp.,electronic technology
enpg,en+ group ipjsc ord shs,non-energy minerals
cbom,mkb ao,finance
moex,moscowexchange,finance
vtbr,vtb,finance
rtkm,rostelecom,communications
idvp,"pao ""invest-development""",finance
rosb,rosbank,finance
bane,bashneft ank ao,energy minerals
rasp,raspadskaya,energy minerals
nknc,niznekamskneftekhim ao,process industries
kzos,pao organicheskiy sintez ao,producer manufacturing
smlt,samolet,finance
mgts,mgts-5,communications
avan,"akb ""avangard""",finance
afks,afk sistema,communications
gche,cherkizovo group ao,process industries
kazt,kuib.azot ao,process industries
aflt,aeroflot,transportation
fees,fgc rosseti,utilities
yakg,yatek ao,utilities
irkt,irkut-3,electronic technology
fesh,dvmp ao,transportation
lsng,rosseti lenenrg,utilities
nmtp,nmtp,transportation
flot,sovcomflot,transportation
trmk,tmk ao,non-energy minerals
aptk,"apteki 36,6",retail trade
posi,pjsc positive group,finance
upro,unipro pao ao,utilities
rgss,rosgosstrakh ao,finance
sgzh,segezha,process industries
msng,mosenrg,utilities
ingr,ingrad,finance
mtlr,mechel,non-energy minerals
ogkb,ogk-2,utilities
kmaz,kamaz,producer manufacturing
utar,utair aviacompany,transportation
sfin,sfi ao,finance
aqua,inarctika,process industries
dsky,detsky mir,retail trade
ukuz,uzhnyi kuzbass,energy minerals
bspb,bsp,finance
selg,seligdar,non-energy minerals
lsrg,lsr,finance
msrs,rosseti moscow region,utilities
belu,beluga group ao,consumer non-durables
mfgs,megion,energy minerals
mvid,m.video,distribution services
tgka,tgk-1,utilities
reni,renaissance insurance,finance
vjgz,var'eganneftegaz ao,energy minerals
mstt,mostotrest,industrial services
usbn,bank uralsib ao,finance
rolo,rusolovo pao ao,finance
rnft,russneft nk,energy minerals
mrks,rosseti sibir,utilities
mrkp,rosseti centr i privoljye ao,utilities
dvec,dec,utilities
ucss,pao oks ao,finance
nkhp,nkhp ao,transportation
kube,rosseti kuban,utilities
abrd,abrau-durso ao,consumer non-durables
enru,el5-ener,utilities
lnzl,lenzoloto,non-energy minerals
jnos,slavneft-janos,energy minerals
mrku,mrsk urala ao,utilities
chmk,cmk,non-energy minerals
amez,ashinckiy metzavod pao,non-energy minerals
rkke,rkk energia,electronic technology
blng,belon ao,energy minerals
uwgn,ovk ao,producer manufacturing
mrkc,rosseti centr,utilities
vrsb,tns energo voroneg ao,utilities
mrkk,rosseti severnyy kavkaz ao,utilities
ttlk,tattelekom,communications
krkn,saratovskiy npz ao,energy minerals
wtcm,cmt,finance
kogk,korshunovskii gok,non-energy minerals
prmb,akb primorye,finance
tnse,"pao gk ""tns energo"" ao",utilities
kche,kamchatskenergo,utilities
vsyd,viborgskii sudostr. zavod ao,producer manufacturing
urkz,uralskaya kuznica ao,non-energy minerals
paza,pavlovo bus ao,consumer durables
svav,sollers avto,consumer durables
nnsb,tns energo nizhniy-novgorod ao,utilities
gaza,gaz ao,producer manufacturing
brzl,buryatzoloto ao,non-energy minerals
krsb,krashojarskenergosbyt,utilities
iskj,hsci ao,transportation
pmsb,perm' energosbyt,utilities
krot,krasnyioctyabr,consumer non-durables
rtsb,tns energo rostov-na-dony ao,utilities
zill,zil ao,consumer durables
tgkb,tgk-2,utilities
rusi,russ-invest ic ao,miscellaneous
mrky,rosseti south ao,utilities
merf,meridian ao,miscellaneous
mrkv,rosseti volga,utilities
kmtz,kgiw ao,non-energy minerals
eelt,european eltech,electronic technology
sago,samaraenergo ao,utilities
kgkc,kurganskaja gener.kompanija,utilities
unkl,uzhno-uralskiy nikel. komb. ao,non-energy minerals
tgkn,tgk-14,utilities
chkz,ckpz,producer manufacturing
rzsb,"jsc ""ryazanenergosbyt""",utilities
slen,sakhalinenergo ao,utilities
kmez,kovrov mech. zavod,producer manufacturing
gtrk,gtm,transportation
yrsb,tns energo yaroslavl' ao,utilities
rdrb,rosdor bank ao,finance
igst,izhstal 2ao,non-energy minerals
rtgz,gazprom gazorasp. rostov ao,utilities
kbsb,tns energo kuban company,utilities
mage,magadanenergo ao,utilities
mrkz,rosseti severo-zapad,utilities
nauk,npo nauka ao,electronic technology
yken,yakutskenergo,utilities
cntl,centrlnyi telegraf,communications
prfn,czpsn-profnasteel,producer manufacturing
nfaz,nefaz pao ao,consumer durables
misb,tns energo mariy el ao,utilities
zvez,a ao,producer manufacturing
life,farmsintez ao,health technology
lpsb,lesk ao,utilities
nksh,nizhnekamskshina ao,producer manufacturing
vgsb,volgograd energo sbyt,utilities
orup,org,retail trade
tors,tomsk raspredelit. komp ao,utilities
gema,imcb pjsc,health technology
dzrd,dzrd ao,consumer durables
klsb,kalugsk. sbyt. company ao,utilities
rbcm,gk rbk ao,technology services
rost,rosinter restaurants ao,consumer services
chgz,rn-western siberia ao,energy minerals
stsb,stavropolenergosbyt,utilities
tasb,tambov energosbyt company,utilities
tuza,tuimaz. zavod avtobetonovozov,transportation
lvhk,levenguk ao,electronic technology
nsvz,nauka-svyaz ao,communications
diod,zavod diod ao,health technology
sare,saratovenergo ao,utilities
rugr,rusgrain holding ao,process industries
assb,astrakhan energo sbyt,utilities
arsa,uk arsagera,finance
ktsb,ksb,utilities
eltz,elektrotsink ao,non-energy minerals
kuzb,"bank ""kuzneckiy""",finance
mrsb,mordovskaya energosbyt comp.,utilities
svet,svetofor group,commercial services
vlhz,vhz,process industries
grnt,cityinnovativetechnologies ao,commercial services
odva,mediaholding,consumer services
wush,whoosh holding,â€”
spbe,spb exchange,finance